year,city,party,mention_count
2004,Helsinki,Vihreä liitto,48
2004,Helsinki,Vasemmistoliitto,65
2004,Helsinki,Kansallinen Kokoomus,103
2004,Helsinki,Suomen ruotsalainen kansanpuolue,5
2004,Helsinki,Suomen Keskusta,75
2004,Helsinki,Suomen Sosialidemokraattinen Puolue,94
2004,Helsinki,Perussuomalaiset,11
2004,Helsinki,Suomen Kristillisdemokraatit,23
2004,Helsinki,Sininen tulevaisuus,6
2004,Helsinki,Suomen Kansan Demokraattinen Liitto,4
2004,Espoo,Vihreä liitto,4
2004,Espoo,Kansallinen Kokoomus,12
2004,Espoo,Suomen Keskusta,5
2004,Espoo,Suomen Sosialidemokraattinen Puolue,7
2004,Espoo,Sininen tulevaisuus,13
2004,Espoo,Vasemmistoliitto,6
2004,Espoo,Suomen Kristillisdemokraatit,5
2004,Espoo,Perussuomalaiset,1
2004,Tampere,Kansallinen Kokoomus,26
2004,Tampere,Suomen Keskusta,33
2004,Tampere,Suomen Sosialidemokraattinen Puolue,37
2004,Tampere,Vasemmistoliitto,19
2004,Tampere,Suomen ruotsalainen kansanpuolue,1
2004,Tampere,Vihreä liitto,5
2004,Tampere,Suomen Kansan Demokraattinen Liitto,2
2004,Tampere,Suomen Kristillisdemokraatit,4
2004,Vantaa,Suomen Sosialidemokraattinen Puolue,9
2004,Vantaa,Suomen Keskusta,2
2004,Vantaa,Vihreä liitto,3
2004,Vantaa,Vasemmistoliitto,5
2004,Vantaa,Kansallinen Kokoomus,5
2004,Vantaa,Perussuomalaiset,1
2004,Vantaa,Sininen tulevaisuus,3
2004,Vantaa,Suomen Kristillisdemokraatit,1
2004,Oulu,Suomen Kristillisdemokraatit,15
2004,Oulu,Vasemmistoliitto,15
2004,Oulu,Vihreä liitto,20
2004,Oulu,Suomen Keskusta,19
2004,Oulu,Kansallinen Kokoomus,16
2004,Oulu,Suomen Sosialidemokraattinen Puolue,7
2004,Turku,Suomen Sosialidemokraattinen Puolue,21
2004,Turku,Vasemmistoliitto,28
2004,Turku,Kansallinen Kokoomus,24
2004,Turku,Vihreä liitto,5
2004,Turku,Suomen Kristillisdemokraatit,7
2004,Turku,Suomen Keskusta,21
2004,Turku,Sininen tulevaisuus,2
2004,Turku,Suomen Kansan Demokraattinen Liitto,3
2004,Turku,Suomen ruotsalainen kansanpuolue,1
