year,city,party,mention_count
1988,Helsinki,Suomen Keskusta,86
1988,Helsinki,Suomen Sosialidemokraattinen Puolue,123
1988,Helsinki,Vihreä liitto,53
1988,Helsinki,Suomen Maaseudun Puolue,22
1988,Helsinki,Kansallinen Kokoomus,71
1988,Helsinki,Suomen Kristillisdemokraatit,28
1988,Helsinki,Suomen ruotsalainen kansanpuolue,20
1988,Helsinki,Vasemmistoliitto,11
1988,Helsinki,Suomen Kansan Demokraattinen Liitto,47
1988,Helsinki,Demokraattinen Vaihtoehto,5
1988,Helsinki,Perussuomalaiset,1
1988,Espoo,Suomen Maaseudun Puolue,4
1988,Espoo,Kansallinen Kokoomus,13
1988,Espoo,Vihreä liitto,5
1988,Espoo,Suomen Kristillisdemokraatit,3
1988,Espoo,Suomen Sosialidemokraattinen Puolue,12
1988,Espoo,Suomen Kansan Demokraattinen Liitto,7
1988,Espoo,Suomen Keskusta,13
1988,Espoo,Vasemmistoliitto,2
1988,Espoo,Demokraattinen Vaihtoehto,1
1988,Espoo,Suomen ruotsalainen kansanpuolue,1
1988,Tampere,Kansallinen Kokoomus,31
1988,Tampere,Suomen Keskusta,24
1988,Tampere,Suomen ruotsalainen kansanpuolue,7
1988,Tampere,Suomen Kansan Demokraattinen Liitto,21
1988,Tampere,Suomen Maaseudun Puolue,8
1988,Tampere,Vihreä liitto,13
1988,Tampere,Vasemmistoliitto,3
1988,Tampere,Suomen Sosialidemokraattinen Puolue,26
1988,Tampere,Suomen Kristillisdemokraatit,6
1988,Tampere,Demokraattinen Vaihtoehto,1
1988,Vantaa,Suomen Keskusta,11
1988,Vantaa,Kansallinen Kokoomus,8
1988,Vantaa,Suomen Kristillisdemokraatit,4
1988,Vantaa,Suomen Sosialidemokraattinen Puolue,8
1988,Vantaa,Vihreä liitto,2
1988,Vantaa,Suomen Maaseudun Puolue,3
1988,Vantaa,Suomen ruotsalainen kansanpuolue,1
1988,Vantaa,Suomen Kansan Demokraattinen Liitto,1
1988,Oulu,Vihreä liitto,16
1988,Oulu,Suomen Keskusta,39
1988,Oulu,Suomen Sosialidemokraattinen Puolue,17
1988,Oulu,Suomen ruotsalainen kansanpuolue,6
1988,Oulu,Suomen Kansan Demokraattinen Liitto,6
1988,Oulu,Demokraattinen Vaihtoehto,4
1988,Oulu,Suomen Maaseudun Puolue,9
1988,Oulu,Kansallinen Kokoomus,12
1988,Oulu,Suomen Kristillisdemokraatit,2
1988,Oulu,Vasemmistoliitto,1
1988,Turku,Kansallinen Kokoomus,21
1988,Turku,Suomen Kansan Demokraattinen Liitto,61
1988,Turku,Suomen Sosialidemokraattinen Puolue,30
1988,Turku,Suomen Keskusta,13
1988,Turku,Suomen ruotsalainen kansanpuolue,10
1988,Turku,Suomen Kristillisdemokraatit,7
1988,Turku,Suomen Maaseudun Puolue,11
1988,Turku,Vihreä liitto,9
1988,Turku,Vasemmistoliitto,2
1988,Jyväskylä,Kansallinen Kokoomus,8
1988,Jyväskylä,Suomen Kansan Demokraattinen Liitto,2
1988,Jyväskylä,Suomen Sosialidemokraattinen Puolue,16
1988,Jyväskylä,Suomen Keskusta,12
1988,Jyväskylä,Suomen Kristillisdemokraatit,2
1988,Jyväskylä,Demokraattinen Vaihtoehto,1
1988,Jyväskylä,Vasemmistoliitto,1
1988,Jyväskylä,Vihreä liitto,2
1988,Jyväskylä,Suomen ruotsalainen kansanpuolue,1
1988,Jyväskylä,Suomen Maaseudun Puolue,2
1988,Kuopio,Suomen Keskusta,12
1988,Kuopio,Kansallinen Kokoomus,12
1988,Kuopio,Suomen Maaseudun Puolue,3
1988,Kuopio,Vasemmistoliitto,2
1988,Kuopio,Suomen Sosialidemokraattinen Puolue,10
1988,Kuopio,Suomen ruotsalainen kansanpuolue,2
1988,Kuopio,Vihreä liitto,3
1988,Lahti,Suomen Kristillisdemokraatit,1
1988,Lahti,Suomen Sosialidemokraattinen Puolue,7
1988,Lahti,Kansallinen Kokoomus,7
1988,Lahti,Suomen Keskusta,3
1988,Lahti,Vihreä liitto,1
1988,Lahti,Suomen Maaseudun Puolue,1
1988,Pori,Suomen Sosialidemokraattinen Puolue,26
1988,Pori,Suomen Kansan Demokraattinen Liitto,8
1988,Pori,Suomen ruotsalainen kansanpuolue,4
1988,Pori,Suomen Keskusta,5
1988,Pori,Kansallinen Kokoomus,6
1988,Pori,Suomen Maaseudun Puolue,1
1988,Pori,Perussuomalaiset,1
1988,Pori,Vasemmistoliitto,2
1988,Pori,Vihreä liitto,1
1988,Kouvola,Suomen Sosialidemokraattinen Puolue,3
1988,Kouvola,Suomen ruotsalainen kansanpuolue,1
1988,Kouvola,Kansallinen Kokoomus,1
1988,Joensuu,Suomen Sosialidemokraattinen Puolue,12
1988,Joensuu,Kansallinen Kokoomus,7
1988,Joensuu,Suomen Keskusta,16
1988,Joensuu,Perussuomalaiset,1
1988,Joensuu,Vihreä liitto,1
1988,Joensuu,Suomen Maaseudun Puolue,1
1988,Joensuu,Vasemmistoliitto,1
1988,Lappeenranta,Suomen Sosialidemokraattinen Puolue,3
1988,Lappeenranta,Suomen Kristillisdemokraatit,1
1988,Lappeenranta,Kansallinen Kokoomus,4
1988,Lappeenranta,Suomen Keskusta,1
1988,Hämeenlinna,Suomen Keskusta,5
1988,Hämeenlinna,Vihreä liitto,2
1988,Hämeenlinna,Suomen Maaseudun Puolue,4
1988,Hämeenlinna,Suomen Kansan Demokraattinen Liitto,2
1988,Hämeenlinna,Kansallinen Kokoomus,4
1988,Hämeenlinna,Suomen Sosialidemokraattinen Puolue,2
1988,Hämeenlinna,Vasemmistoliitto,1
1988,Vaasa,Kansallinen Kokoomus,6
1988,Vaasa,Suomen Sosialidemokraattinen Puolue,5
1988,Vaasa,Suomen Keskusta,10
1988,Vaasa,Perussuomalaiset,1
1988,Vaasa,Suomen Kristillisdemokraatit,3
1988,Vaasa,Suomen ruotsalainen kansanpuolue,6
1988,Vaasa,Suomen Maaseudun Puolue,1
1988,Seinäjoki,Suomen Kristillisdemokraatit,1
1988,Seinäjoki,Suomen Keskusta,3
1988,Seinäjoki,Kansallinen Kokoomus,7
1988,Seinäjoki,Suomen Sosialidemokraattinen Puolue,3
1988,Seinäjoki,Perussuomalaiset,1
1988,Rovaniemi,Kansallinen Kokoomus,7
1988,Rovaniemi,Suomen ruotsalainen kansanpuolue,1
1988,Rovaniemi,Vihreä liitto,6
1988,Rovaniemi,Suomen Keskusta,5
1988,Rovaniemi,Suomen Sosialidemokraattinen Puolue,5
1988,Rovaniemi,Suomen Kristillisdemokraatit,1
1988,Rovaniemi,Suomen Maaseudun Puolue,5
1988,Mikkeli,Suomen Kansan Demokraattinen Liitto,2
1988,Mikkeli,Kansallinen Kokoomus,5
1988,Mikkeli,Suomen Sosialidemokraattinen Puolue,4
1988,Mikkeli,Suomen Maaseudun Puolue,3
1988,Mikkeli,Suomen Keskusta,7
1988,Kotka,Kansallinen Kokoomus,7
1988,Kotka,Suomen Sosialidemokraattinen Puolue,14
1988,Kotka,Suomen Kristillisdemokraatit,3
1988,Kotka,Suomen Keskusta,4
1988,Kotka,Suomen Maaseudun Puolue,1
1988,Kotka,Suomen Kansan Demokraattinen Liitto,1
1988,Kotka,Vihreä liitto,2
1988,Kotka,Suomen ruotsalainen kansanpuolue,1
1988,Salo,Kansallinen Kokoomus,2
1988,Salo,Suomen ruotsalainen kansanpuolue,1
1988,Porvoo,Suomen ruotsalainen kansanpuolue,4
1988,Porvoo,Suomen Sosialidemokraattinen Puolue,2
