city,year,electoral_district,mention_count
Helsinki,1988,Turun läänin eteläinen vaalipiiri,30
Helsinki,1990,Keski-Suomen läänin vaalipiiri,17
Helsinki,1994,Turun läänin pohjoinen vaalipiiri,9
Helsinki,1989,Lapin läänin vaalipiiri,23
Helsinki,1992,Vaasan läänin vaalipiiri,29
Helsinki,1994,Kuopion läänin vaalipiiri,19
Helsinki,1991,Helsingin kaupungin vaalipiiri,48
Helsinki,1986,Oulun läänin vaalipiiri,29
Helsinki,1988,Uudenmaan läänin vaalipiiri,68
Helsinki,1987,Turun läänin eteläinen vaalipiiri,29
Helsinki,1989,Oulun läänin vaalipiiri,60
Helsinki,1987,Uudenmaan läänin vaalipiiri,56
Helsinki,1992,Hämeen läänin pohjoinen vaalipiiri,44
Helsinki,1989,Hämeen läänin eteläinen vaalipiiri,17
Helsinki,1994,Oulun läänin vaalipiiri,34
Helsinki,1988,Helsingin kaupungin vaalipiiri,138
Helsinki,1990,Uudenmaan läänin vaalipiiri,54
Helsinki,1991,Uudenmaan läänin vaalipiiri,32
Helsinki,1991,Hämeen läänin pohjoinen vaalipiiri,28
Helsinki,1993,Lapin läänin vaalipiiri,19
Helsinki,1986,Turun läänin pohjoinen vaalipiiri,19
Helsinki,1989,Uudenmaan läänin vaalipiiri,70
Helsinki,1993,Hämeen läänin eteläinen vaalipiiri,17
Helsinki,1994,Helsingin kaupungin vaalipiiri,55
Helsinki,1987,NaN,2
Helsinki,1989,Vaasan läänin vaalipiiri,19
Helsinki,1990,Turun läänin eteläinen vaalipiiri,30
Helsinki,1986,Keski-Suomen läänin vaalipiiri,10
Helsinki,1988,Keski-Suomen läänin vaalipiiri,24
Helsinki,1989,Mikkelin läänin vaalipiiri,10
Helsinki,1988,Turun läänin pohjoinen vaalipiiri,20
Helsinki,1989,Helsingin kaupungin vaalipiiri,75
Helsinki,1990,Oulun läänin vaalipiiri,37
Helsinki,1994,Lapin läänin vaalipiiri,18
Helsinki,1990,Hämeen läänin eteläinen vaalipiiri,17
Helsinki,1990,Turun läänin pohjoinen vaalipiiri,25
Helsinki,1992,Oulun läänin vaalipiiri,35
Helsinki,1992,Keski-Suomen läänin vaalipiiri,19
Helsinki,1987,Turun läänin pohjoinen vaalipiiri,15
Helsinki,1992,Turun läänin pohjoinen vaalipiiri,8
Helsinki,1989,Pohjois-Karjalan läänin vaalipiiri,12
Helsinki,1994,NaN,6
Helsinki,1994,Hämeen läänin pohjoinen vaalipiiri,22
Helsinki,1993,Pohjois-Karjalan läänin vaalipiiri,13
Helsinki,1987,Helsingin kaupungin vaalipiiri,102
Helsinki,1992,Uudenmaan läänin vaalipiiri,38
Helsinki,1995,Uudenmaan läänin vaalipiiri,34
Helsinki,1987,Oulun läänin vaalipiiri,37
Helsinki,1993,Kymen läänin vaalipiiri,22
Helsinki,1988,Oulun läänin vaalipiiri,44
Helsinki,1993,Helsingin kaupungin vaalipiiri,69
Helsinki,1995,Keski-Suomen läänin vaalipiiri,15
Helsinki,1987,Kymen läänin vaalipiiri,15
Helsinki,1993,Turun läänin eteläinen vaalipiiri,35
Helsinki,1993,Uudenmaan läänin vaalipiiri,38
Helsinki,1995,Turun läänin pohjoinen vaalipiiri,18
Helsinki,1989,Keski-Suomen läänin vaalipiiri,37
Helsinki,1994,Uudenmaan läänin vaalipiiri,40
Helsinki,1994,Pohjois-Karjalan läänin vaalipiiri,9
Helsinki,1989,Kymen läänin vaalipiiri,32
