nro,current_name,previous_name
1,Helsingin vaalipiiri,Helsingin kaupungin vaalipiiri
2,Uudenmaan vaalipiiri,Uudenmaan läänin vaalipiiri
3,Varsinais-Suomen vaalipiiri,Turun läänin eteläinen vaalipiiri
4,Satakunnan vaalipiiri,Turun läänin pohjoinen vaalipiiri
5,Ahvenanmaan maakunnan vaalipiiri,Ahvenanmaan maakunnan vaalipiiri
6,Hämeen vaalipiiri,Hämeen läänin eteläinen vaalipiiri
7,Pirkanmaan vaalipiiri,Hämeen läänin pohjoinen vaalipiiri
8,Kaakkois-Suomen vaalipiiri,Etelä-Savon vaalipiiri
8,Kaakkois-Suomen vaalipiiri,Mikkelin läänin vaalipiiri
8,Kaakkois-Suomen vaalipiiri,Mikkelin vaalipiiri
8,Kaakkois-Suomen vaalipiiri,Kymen läänin vaalipiiri
8,Kaakkois-Suomen vaalipiiri,Kymen vaalipiiri
9,Savo-Karjalan vaalipiiri,Pohjois-Karjalan vaalipiiri
9,Savo-Karjalan vaalipiiri,Pohjois-Karjalan läänin vaalipiiri
9,Savo-Karjalan vaalipiiri,Kuopion läänin itäinen vaalipiiri
9,Savo-Karjalan vaalipiiri,Pohjois-Savon vaalipiiri
9,Savo-Karjalan vaalipiiri,Kuopion läänin läntinen vaalipiiri
9,Savo-Karjalan vaalipiiri,Kuopion läänin vaalipiiri
9,Savo-Karjalan vaalipiiri,Kuopion vaalipiiri
10,Vaasan vaalipiiri,Vaasan läänin vaalipiiri
11,Keski-Suomen vaalipiiri,Keski-Suomen läänin vaalipiiri
12,Oulun vaalipiiri,Oulun läänin vaalipiiri
13,Lapin vaalipiiri,Lapin läänin vaalipiiri
